transaction_id,transaction_date,account_id,customer_id,transaction_type,transaction_channel,transaction_amount,account_balance,transaction_status
9037310,2023-12-31,5004420,1082082,Credit,Online,27560.23,87467.84,Pending
9037311,2024-07-24,5254687,1000173,Transfer,Branch,39611.84,189262.54,Pending
9037312,2023-08-31,5262683,1156976,Debit,ATM,14375.09,86427.54,Failed
9037313,2024-04-27,5131717,1186787,Debit,Branch,10717.24,121163.77,Pending
9037314,2023-07-10,5169592,1177346,Credit,Branch,45189.85,129948.13,Completed
9037315,2024-05-23,5157904,1034182,Credit,Mobile,15907.79,32742.35,Pending
9037316,2024-03-31,5159530,1185094,Credit,ATM,22957.03,125815.51,Failed
9037317,2024-03-01,5093850,1068660,Transfer,Mobile,11882.39,166693.32,Pending
9037318,2024-06-09,5197690,1071764,Transfer,Online,24305.52,161679.26,Failed
9037319,2023-04-26,5060097,1064856,Credit,Mobile,27345.65,3352.72,Completed
9037320,2023-09-07,5112402,1108406,Debit,Online,23036.36,72041.78,Pending
9037321,2023-07-01,5166490,1120428,Debit,Branch,47513.25,88820.01,Pending
9037322,2023-07-09,5051825,1129119,Credit,Mobile,19034.05,109488.07,Completed
9037323,2023-08-11,5139072,1033939,Transfer,Branch,22476.77,188874.91,Completed
9037324,2023-08-28,5291573,1100539,Transfer,Branch,10911.79,69839.53,Pending
9037325,2023-07-30,5054943,1150254,Transfer,Online,24141.74,9515.65,Completed
9037326,2023-05-13,5113524,1060005,Transfer,Branch,37143.81,16116.51,Completed
9037327,2024-02-25,5196319,1106558,Transfer,ATM,22843.17,35262.31,Failed
9037328,2023-02-12,5268502,1089472,Debit,ATM,43911.7,21225.59,Failed
9037329,2024-08-07,5168893,1000050,Transfer,Branch,18557.69,154382.82,Completed
9037330,2024-07-30,5115022,1083339,Transfer,ATM,44108.75,198677.14,Completed
9037331,2023-10-12,5064708,1130102,Debit,Mobile,657.85,110636.31,Completed
9037332,2023-09-15,5056829,1006066,Credit,Online,5913.1,103065.13,Completed
9037333,2023-08-26,5223273,1103754,Credit,ATM,11082.49,161650.93,Completed
9037334,2023-02-11,5026201,1061011,Debit,ATM,25099.79,83890.18,Completed
9037335,2023-03-23,5174493,1029650,Credit,Mobile,2251.64,23558.24,Completed
9037336,2024-04-30,5226622,1020372,Credit,Branch,41445.28,36221.39,Completed
9037337,2023-01-05,5155961,1122321,Credit,ATM,26623.93,48242.93,Pending
9037338,2023-09-12,5088029,1144971,Debit,Online,33903.24,63789.35,Pending
9037339,2024-03-19,5257619,1164200,Debit,Mobile,11228.33,159464.99,Failed
9037340,2023-11-25,5098018,1137898,Credit,Mobile,40868.95,55832.02,Pending
9037341,2024-06-29,5259709,1104933,Credit,Branch,15141.99,123230.44,Completed
9037342,2023-06-26,5175121,1180814,Debit,Mobile,4107.09,18525.7,Pending
9037343,2024-05-21,5173657,1003511,Transfer,Mobile,30394.03,188525.15,Failed
9037344,2023-10-29,5188161,1162637,Debit,Branch,47070.56,26683.91,Completed
9037345,2023-05-03,5006213,1154729,Transfer,Mobile,46918.47,11029.4,Failed
9037346,2024-06-06,5240271,1161900,Transfer,Online,37122.66,192522.91,Pending
9037347,2024-04-29,5222632,1129573,Transfer,Mobile,36763.33,117453.94,Failed
9037348,2024-05-15,5236928,1117129,Credit,Mobile,35509.98,103634.77,Pending
9037349,2024-05-25,5168307,1069576,Transfer,ATM,15331.45,178345.38,Failed
9037350,2023-08-16,5128414,1054525,Transfer,Mobile,13931.41,5001.03,Pending
9037351,2024-02-10,5128049,1139542,Debit,Mobile,20464.8,194578.0,Failed
9037352,2024-04-27,5169053,1012845,Debit,Online,45258.34,78726.55,Pending
9037353,2023-01-09,5221004,1197033,Debit,Online,40496.79,107863.88,Completed
9037354,2023-02-07,5025797,1090631,Credit,ATM,45523.76,191537.16,Failed
9037355,2023-10-23,5208962,1145579,Debit,ATM,4670.03,139080.96,Failed
9037356,2023-12-18,5177698,1009182,Credit,Mobile,6809.67,111298.51,Pending
9037357,2024-02-09,5269772,1024625,Credit,Branch,26488.43,26209.94,Pending
9037358,2024-02-21,5181835,1170297,Debit,ATM,12321.74,90225.0,Completed
9037359,2024-08-12,5240927,1114079,Transfer,Online,4692.96,99615.2,Completed
9037360,2024-06-16,5106025,1102744,Debit,Mobile,33913.1,132447.91,Failed
9037361,2023-04-04,5011517,1175505,Credit,Branch,3530.23,129899.64,Pending
9037362,2024-01-16,5197879,1156869,Transfer,Online,35594.85,94736.75,Completed
9037363,2023-10-14,5026243,1096967,Transfer,ATM,47437.22,144553.67,Completed
9037364,2024-03-15,5002141,1195100,Credit,ATM,7148.15,152626.58,Failed
9037365,2023-08-09,5009508,1197183,Credit,Mobile,34270.64,51345.42,Failed
9037366,2023-11-19,5179962,1192037,Transfer,Online,39481.62,164281.44,Pending
9037367,2023-09-30,5099859,1194264,Credit,Branch,18568.34,26543.11,Completed
9037368,2024-01-31,5178035,1042907,Credit,Online,26917.34,18836.42,Failed
9037369,2023-10-31,5032952,1069931,Transfer,Branch,9553.37,80057.35,Completed
9037370,2023-04-18,5279651,1086850,Transfer,Branch,7762.06,100784.35,Pending
9037371,2024-04-07,5059650,1141739,Debit,Branch,37576.08,127284.15,Pending
9037372,2023-11-13,5112929,1075368,Credit,ATM,33525.18,93651.02,Completed
9037373,2023-06-09,5241393,1022629,Debit,Online,7362.44,138201.92,Pending
9037374,2023-02-28,5037310,1045250,Transfer,ATM,1498.97,5304.14,Pending
9037375,2023-06-10,5069754,1053135,Credit,Branch,22205.91,96395.92,Completed
9037376,2023-04-17,5041998,1105333,Debit,ATM,21351.77,73142.09,Pending
9037377,2023-04-10,5049580,1063677,Debit,Branch,31909.82,95351.77,Failed
9037378,2023-06-09,5124159,1110513,Transfer,Online,46159.96,182955.88,Failed
9037379,2024-06-16,5229098,1135746,Debit,Online,47300.23,9122.28,Completed
9037380,2023-06-05,5169263,1149200,Debit,Branch,16145.71,19951.5,Completed
9037381,2024-02-19,5181485,1051581,Debit,Online,31645.27,190455.0,Failed
9037382,2023-01-20,5267402,1074728,Debit,Online,23596.16,25528.14,Failed
9037383,2024-06-17,5189352,1189063,Debit,Mobile,3238.9,100640.87,Failed
9037384,2024-01-17,5158865,1022064,Transfer,Online,31211.42,76565.58,Failed
9037385,2023-09-26,5228599,1153390,Transfer,Mobile,35735.12,187305.11,Pending
9037386,2024-02-13,5008210,1077795,Transfer,Online,30071.17,190111.36,Pending
9037387,2023-08-22,5218289,1107903,Transfer,Online,8469.37,99372.87,Failed
9037388,2023-04-14,5226978,1156529,Debit,Online,28150.81,85613.54,Failed
9037389,2023-05-07,5211278,1059432,Transfer,ATM,49888.94,187640.55,Pending
9037390,2024-05-06,5210137,1100755,Transfer,ATM,25878.05,38174.3,Pending
9037391,2023-09-25,5109739,1033248,Credit,Branch,3929.61,28432.06,Completed
9037392,2023-01-02,5251565,1030460,Transfer,ATM,31554.53,65972.21,Failed
9037393,2024-05-30,5164063,1017904,Debit,Online,37550.46,159427.55,Completed
9037394,2023-10-25,5259368,1179203,Credit,Mobile,3681.58,98224.7,Failed
9037395,2023-11-04,5247807,1053349,Debit,Mobile,35729.63,156614.37,Completed
9037396,2023-12-02,5149978,1033087,Credit,Mobile,44305.05,89550.05,Failed
9037397,2023-07-28,5051885,1140714,Debit,Online,113.73,161569.21,Completed
9037398,2024-06-02,5153888,1058410,Debit,Online,10424.51,127798.93,Pending
9037399,2024-05-23,5068755,1028646,Transfer,Mobile,49689.0,196538.92,Pending
9037400,2024-03-30,5164965,1039856,Credit,Mobile,30742.05,159945.08,Completed
9037401,2024-06-03,5072789,1197477,Transfer,Online,19389.46,187995.69,Pending
9037402,2024-03-25,5191520,1173131,Debit,Branch,10553.78,153495.59,Failed
9037403,2024-05-24,5233680,1116056,Transfer,Mobile,47969.56,177903.09,Completed
9037404,2024-06-11,5006571,1186079,Credit,Branch,17358.79,15403.07,Failed
9037405,2023-05-14,5086586,1051965,Credit,Online,22790.15,9755.14,Failed
9037406,2023-01-23,5081121,1121293,Credit,Mobile,10822.66,34728.77,Pending
9037407,2023-08-07,5186055,1121253,Transfer,Branch,10021.28,113730.82,Failed
9037408,2024-03-09,5080000,1073442,Credit,Branch,13260.48,110229.21,Pending
9037409,2023-03-31,5210717,1178282,Debit,Branch,39427.83,107381.89,Failed
9037410,2023-03-05,5001414,1112988,Transfer,Branch,47252.41,185526.8,Pending
9037411,2024-05-11,5184157,1046670,Debit,Online,9811.24,35263.35,Completed
9037412,2023-05-24,5255895,1050984,Transfer,Mobile,19140.58,54146.25,Failed
9037413,2023-06-02,5190936,1053007,Credit,Online,42457.13,38194.91,Completed
9037414,2024-08-20,5280872,1019541,Debit,Branch,4646.23,48199.24,Failed
9037415,2023-06-02,5153754,1117596,Debit,Branch,29355.07,173629.97,Failed
9037416,2024-02-01,5180921,1050305,Debit,Online,23684.91,15871.9,Pending
9037417,2023-01-22,5058429,1196847,Credit,Branch,951.53,98034.7,Completed
9037418,2023-12-05,5268861,1156494,Credit,ATM,21683.54,117198.86,Pending
9037419,2023-09-07,5210724,1170507,Debit,ATM,10929.98,2029.17,Completed
9037420,2023-01-22,5088835,1105559,Transfer,Branch,2008.34,151407.33,Failed
9037421,2024-01-05,5073838,1161150,Credit,ATM,46859.2,138460.22,Pending
9037422,2024-02-26,5102471,1110776,Transfer,Mobile,19553.98,69980.81,Failed
9037423,2024-05-25,5189460,1038990,Debit,Branch,23111.17,188067.59,Pending
9037424,2023-12-02,5172209,1058815,Debit,Online,13537.54,143134.03,Pending
9037425,2024-05-24,5118167,1165181,Transfer,ATM,44760.03,193540.99,Pending
9037426,2023-02-10,5239939,1016244,Transfer,Branch,45695.9,136704.18,Pending
9037427,2024-03-14,5207196,1005412,Debit,Online,34805.89,75157.48,Failed
9037428,2023-02-25,5073345,1168411,Credit,Branch,14546.93,123775.81,Completed
9037429,2023-06-08,5184641,1015245,Debit,ATM,5907.85,13792.2,Completed
9037430,2023-08-04,5152459,1010465,Credit,Online,43595.84,78477.36,Completed
